capture_date,last_update,confirmed,deaths,recovered,active,incident_rate,case_fatality_ratio,uid
2021-04-15,2021-04-15 04:20:54,126610,3422,112700,10488,3099.5063703779138,2.7027880894084197,27611
2021-04-15,2021-04-15 04:20:54,33998,954,31230,1814,3432.3766871376233,2.8060474145537975,27612
2021-04-15,2021-04-15 04:20:54,240466,8654,214100,17712,5896.756129386011,3.5988455748421813,27613
2021-04-15,2021-04-15 04:20:54,81135,2914,71510,6711,3674.058255117802,3.5915449559376347,27614
2021-04-15,2021-04-15 04:20:54,54142,1471,48160,4511,1869.0846725528809,2.7169295556130177,27615
2021-04-15,2021-04-15 04:20:54,105161,3583,91840,9738,4906.854179255253,3.4071566455244815,27616
2021-04-15,2021-04-15 04:20:54,11415,0,0,11415,0.0,0.0,27617
2021-04-15,2021-04-15 04:20:54,91477,763,89301,1413,294.39436783349635,0.8340894432480296,288
2021-04-15,2021-04-15 04:20:54,304184,9135,93764,201285,2918.3763379953057,3.0031165347289797,300
2021-04-15,2021-04-15 04:20:54,155,1,152,2,137.7545125712102,0.6451612903225806,308
2021-04-15,2021-04-15 04:20:54,207127,7089,187894,12144,1156.1286338300094,3.422537863243324,320
2021-04-15,2021-04-15 04:20:54,21299,136,18815,2348,162.18181175792625,0.6385276304051833,324
2021-04-15,2021-04-15 04:20:54,3694,66,3093,535,187.7034427880516,1.7866811044937736,624
2021-04-15,2021-04-15 04:20:54,11374,260,9880,1234,1446.0453697688283,2.2859152452962896,328
2021-04-15,2021-04-15 04:20:54,12855,251,11614,990,112.73810827822204,1.9525476468300271,332
2021-04-15,2021-04-15 04:20:54,27,0,15,12,3337.4536464771318,0.0,336
2021-04-15,2021-04-15 04:20:54,198214,4905,76130,117179,2001.230134499013,2.4745981615829358,340
2021-04-15,2021-04-15 04:20:54,731675,24265,435344,272066,7574.000941994856,3.316363139371989,348
2021-04-15,2021-04-15 04:20:54,6275,29,6163,83,1838.8278388278388,0.46215139442231074,352
2021-04-15,2021-04-15 04:20:54,5247,63,5078,106,1258.1647627542945,1.2006861063464838,35601
2021-04-15,2021-04-15 04:20:54,937049,7339,901327,28383,1738.3859305480084,0.7832034397347417,35602
2021-04-15,2021-04-15 04:20:54,16912,56,16792,64,1076.8833041061907,0.33112582781456956,35603
2021-04-15,2021-04-15 04:20:54,221868,1122,216199,4547,623.1015165287964,0.5057060955162529,35604
2021-04-15,2021-04-15 04:20:54,295171,1651,269795,23725,236.5153646004566,0.5593367912159393,35605
2021-04-15,2021-04-15 04:20:54,31985,404,28210,3371,2760.9620595387205,1.2630920744098797,35606
2021-04-15,2021-04-15 04:20:54,486244,5307,362301,118636,1651.8554973970686,1.0914273492320727,35607
2021-04-15,2021-04-15 04:20:54,4420,2,3756,662,717.8541034619408,0.04524886877828054,35608
2021-04-15,2021-04-15 04:20:54,767438,11540,705162,50736,4101.550955105259,1.5037045337864428,35609
2021-04-15,2021-04-15 04:20:54,63815,857,57846,5112,4023.0102442868397,1.3429444487973048,35610
2021-04-15,2021-04-15 04:20:54,367616,4995,323371,39250,575.5475068346815,1.3587547876044568,35611
2021-04-15,2021-04-15 04:20:54,329942,3316,299205,27421,1169.812455317718,1.0050251256281406,35612
2021-04-15,2021-04-15 04:20:54,72319,1148,64242,6929,970.4701652116794,1.5874113303557849,35613
2021-04-15,2021-04-15 04:20:54,141736,2042,130304,9390,1041.6923900069967,1.440706665914094,35614
2021-04-15,2021-04-15 04:20:54,147792,1292,127976,18524,382.9408693819041,0.8742015805997618,35615
2021-04-15,2021-04-15 04:20:54,1094912,13046,996367,85499,1620.5868428617534,1.1915112812719195,35616
2021-04-15,2021-04-15 04:20:54,1189175,4836,1125775,58564,3331.074381188525,0.4066684886581033,35617
2021-04-15,2021-04-15 04:20:54,11278,132,10095,1051,4111.7215783352585,1.1704202872849796,35618
2021-04-15,2021-04-15 04:20:54,845,1,746,98,1311.5212093932855,0.11834319526627218,35637
